,Country,City,Date,Active Cases,Daily New Cases,Daily New Deaths,Newly Recovered,Recuperaciones Diarias
0,Spain,Madrid,15-02-2020,0,null,0,0,
1,Spain,Madrid,16-02-2020,0,0,0,0,
2,Spain,Madrid,17-02-2020,0,0,0,0,
3,Spain,Madrid,18-02-2020,0,0,0,0,
4,Spain,Madrid,19-02-2020,0,0,0,0,
5,Spain,Madrid,20-02-2020,0,0,0,0,
6,Spain,Madrid,21-02-2020,0,0,0,0,
7,Spain,Madrid,22-02-2020,0,0,0,0,
8,Spain,Madrid,23-02-2020,0,0,0,0,
9,Spain,Madrid,24-02-2020,1,1,0,0,
10,Spain,Madrid,25-02-2020,7,6,0,0,
11,Spain,Madrid,26-02-2020,11,4,0,0,
12,Spain,Madrid,27-02-2020,23,12,0,0,
13,Spain,Madrid,28-02-2020,31,8,0,0,
14,Spain,Madrid,29-02-2020,56,25,0,0,
15,Spain,Madrid,01-03-2020,82,26,0,0,
16,Spain,Madrid,02-03-2020,118,36,0,0,
17,Spain,Madrid,03-03-2020,162,45,1,0,
18,Spain,Madrid,04-03-2020,224,63,1,0,
19,Spain,Madrid,05-03-2020,276,54,1,1,
20,Spain,Madrid,06-03-2020,387,119,5,3,
21,Spain,Madrid,07-03-2020,485,124,2,24,
22,Spain,Madrid,08-03-2020,625,149,7,2,
23,Spain,Madrid,09-03-2020,1169,557,13,0,
24,Spain,Madrid,10-03-2020,1524,464,6,103,
25,Spain,Madrid,11-03-2020,2039,582,19,48,
26,Spain,Madrid,12-03-2020,2871,869,31,6,
27,Spain,Madrid,13-03-2020,4906,2086,47,4,
28,Spain,Madrid,14-03-2020,5678,1159,63,324,
29,Spain,Madrid,15-03-2020,7177,1597,98,0,
30,Spain,Madrid,16-03-2020,9070,1954,48,13,
31,Spain,Madrid,17-03-2020,10265,1884,191,498,
32,Spain,Madrid,18-03-2020,13050,2943,105,53,
33,Spain,Madrid,19-03-2020,16139,3308,193,26,
34,Spain,Madrid,20-03-2020,18890,3494,262,481,
35,Spain,Madrid,21-03-2020,21990,3925,288,537,
36,Spain,Madrid,22-03-2020,24421,3272,391,450,
37,Spain,Madrid,23-03-2020,29470,6368,539,780,
38,Spain,Madrid,24-03-2020,35273,6922,680,439,
39,Spain,Madrid,25-03-2020,40501,7457,656,1573,
40,Spain,Madrid,26-03-2020,46406,8271,718,1648,
41,Spain,Madrid,27-03-2020,51224,7933,773,2342,
42,Spain,Madrid,28-03-2020,54968,7516,844,2928,
43,Spain,Madrid,29-03-2020,58598,6875,821,2424,
44,Spain,Madrid,30-03-2020,63460,7846,913,2071,
45,Spain,Madrid,31-03-2020,68200,7967,748,2479,
46,Spain,Madrid,01-04-2020,72084,8195,923,3388,
47,Spain,Madrid,02-04-2020,74974,7947,961,4096,
48,Spain,Madrid,03-04-2020,77488,7134,850,3770,
49,Spain,Madrid,04-04-2020,80002,6969,749,3706,
50,Spain,Madrid,05-04-2020,80925,5478,694,3861,
51,Spain,Madrid,06-04-2020,82897,5029,700,2357,
52,Spain,Madrid,07-04-2020,84689,5267,704,2771,
53,Spain,Madrid,08-04-2020,85407,6278,747,4813,
54,Spain,Madrid,09-04-2020,85610,5002,655,4144,
55,Argentina,Buenos Aires,15-02-2020,0,null,0,0,
56,Argentina,Buenos Aires,16-02-2020,0,null,0,0,
57,Argentina,Buenos Aires,17-02-2020,0,null,0,0,
58,Argentina,Buenos Aires,18-02-2020,0,null,0,0,
59,Argentina,Buenos Aires,19-02-2020,0,null,0,0,
60,Argentina,Buenos Aires,20-02-2020,0,null,0,0,
61,Argentina,Buenos Aires,21-02-2020,0,null,0,0,
62,Argentina,Buenos Aires,22-02-2020,0,null,0,0,
63,Argentina,Buenos Aires,23-02-2020,0,null,0,0,
64,Argentina,Buenos Aires,24-02-2020,0,null,0,0,
65,Argentina,Buenos Aires,25-02-2020,0,null,0,0,
66,Argentina,Buenos Aires,26-02-2020,0,null,0,0,
67,Argentina,Buenos Aires,27-02-2020,0,null,0,0,
68,Argentina,Buenos Aires,28-02-2020,0,null,0,0,
69,Argentina,Buenos Aires,29-02-2020,0,null,0,0,
70,Argentina,Buenos Aires,01-03-2020,0,null,0,0,
71,Argentina,Buenos Aires,02-03-2020,0,null,0,0,
72,Argentina,Buenos Aires,03-03-2020,1,null,0,0,
73,Argentina,Buenos Aires,04-03-2020,1,0,0,0,
74,Argentina,Buenos Aires,05-03-2020,2,1,0,0,
75,Argentina,Buenos Aires,06-03-2020,8,6,0,0,
76,Argentina,Buenos Aires,07-03-2020,8,1,0,0,
77,Argentina,Buenos Aires,08-03-2020,11,3,0,0,
78,Argentina,Buenos Aires,09-03-2020,16,5,0,0,
79,Argentina,Buenos Aires,10-03-2020,18,2,0,0,
80,Argentina,Buenos Aires,11-03-2020,20,2,0,0,
81,Argentina,Buenos Aires,12-03-2020,30,10,0,0,
82,Argentina,Buenos Aires,13-03-2020,32,3,1,0,
83,Argentina,Buenos Aires,14-03-2020,43,11,0,0,
84,Argentina,Buenos Aires,15-03-2020,51,11,0,3,
85,Argentina,Buenos Aires,16-03-2020,60,9,0,0,
86,Argentina,Buenos Aires,17-03-2020,74,14,0,0,
87,Argentina,Buenos Aires,18-03-2020,92,18,0,0,
